Landcode;Levensnummer;Werknummer;Geboortedatum;Haarkleur;Geslacht;Landcode_moeder;Levensnummer_moeder;Aanvoer;Afvoer;UBN
NL;939843240;4324;05-01-2024;Zwartbont;M;NL;888328843;11-04-2024;;6259491
NL;939843295;4329;05-01-2024;Blauwbont;M;NL;932924625;11-04-2024;;6259491
NL;939843303;4330;05-01-2024;Zwartbont;M;NL;640612616;11-04-2024;;6259491
NL;595043329;4332;15-05-2024;Zwartbont;M;NL;639343781;16-08-2024;;6259491
NL;727143325;4332;04-04-2024;Zwartbont;M;NL;669834657;24-06-2024;;6259491
NL;727143332;4333;04-04-2024;Zwartbont;M;NL;591338276;24-06-2024;;6259491
NL;727143349;4334;04-04-2024;Zwartbont;M;NL;895739759;24-06-2024;;6259491
LU;118334335;4335;03-05-2024;Zwartbont;M;;;16-08-2024;;6259491
LU;818334336;4336;03-05-2024;Zwartbont;M;;;16-08-2024;;6259491
LU;618364342;4342;16-05-2024;Zwartbont;M;;;16-08-2024;;6259491
NL;587643490;4349;19-05-2024;Zwartbont;M;NL;763582502;09-08-2024;;6259491
NL;566243541;4354;13-05-2024;Roodbont;M;NL;649641138;16-08-2024;;6259491
NL;925743594;4359;15-05-2024;Zwartbont;M;NL;685541014;09-08-2024;;6259491
BE;618144361;4361;16-05-2024;Zwart-wit;M;BE;122102167;16-08-2024;;6259491
NL;596343655;4365;21-05-2024;Zwartbont;M;NL;646216755;09-08-2024;;6259491
BE;217874369;4369;03-01-2024;Zwart-wit;M;BE;120921989;11-04-2024;;6259491
NL;575943782;4378;07-08-2021;Zwartbont;M;NL;738136189;01-11-2021;;6259491
LU;118304381;4381;19-03-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;540343849;4384;26-03-2024;Roodbont;M;NL;709442280;24-06-2024;;6259491
NL;639143927;4392;10-05-2024;Zwartbont;M;NL;733040373;16-08-2024;;6259491
NL;730843940;4394;17-05-2024;Zwartbont;M;NL;733737987;16-08-2024;;6259491
NL;607943991;4399;04-01-2024;Zwartbont;M;NL;610643129;11-04-2024;;6259491
NL;593244261;4426;06-01-2024;Zwartbont;M;NL;708013465;11-04-2024;;6259491
NL;943544263;4426;12-05-2024;Zwartbont;M;NL;708042755;09-08-2024;;6259491
NL;593244285;4428;08-01-2024;Zwartbont;M;NL;626408697;11-04-2024;;6259491
NL;659744322;4432;29-03-2024;Zwartbont;M;NL;754942247;24-06-2024;;6259491
NL;597844344;4434;17-05-2024;Zwartbont;M;NL;676597990;16-08-2024;;6259491
BE;117964454;4454;14-02-2024;Zwart-wit;M;BE;617308418;08-05-2024;;6259491
NL;878544686;4468;10-02-2024;Zwartbont;M;NL;595943322;08-05-2024;;6259491
NL;689144716;4471;02-04-2024;Zwartbont;M;NL;627028395;24-06-2024;;6259491
NL;735844722;4472;30-03-2024;Zwartbont;M;NL;563442431;24-06-2024;;6259491
LU;318334476;4476;10-05-2024;Zwartbont;M;;;09-08-2024;;6259491
